protocol,record_type,target_token,split,signature,public_global,public_singleton,public_directed,public_adjacency,winning_family,policy_inputs,rule,field_permutation,heldout_correct,heldout_total,duplicate_attack,token_rename_attack,target_id_attack,verdict
round_n_trace_audit,target,N2-11,test,12,928,874,689,788,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-46,test,12,928,874,689,788,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-05,test,13,750,819,850,507,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-29,test,13,750,819,850,507,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-16,test,14,770,649,500,897,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-40,test,14,770,649,500,897,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-00,test,15,605,682,501,672,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-35,test,15,605,682,501,672,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-23,test,16,874,806,868,748,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-09,test,16,874,806,868,748,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-41,test,17,734,636,668,894,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-18,test,17,734,636,668,894,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-03,test,18,925,522,827,636,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-30,test,18,925,522,827,636,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-12,test,19,880,523,630,919,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-43,test,19,880,523,630,919,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-26,test,20,757,563,503,904,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-15,test,20,757,563,503,904,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-38,test,21,748,645,507,882,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-21,test,21,748,645,507,882,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-33,test,22,914,563,721,772,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-24,test,22,914,563,721,772,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-36,test,23,837,568,780,702,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-27,test,23,837,568,780,702,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,classifier_summary,TRACE_ONLY,test,,,,,,trace_only,prior,all_24,12,24,counterfactual_pair,pass,not_policy_input,PASS_AT_PRIOR
round_n_trace_audit,classifier_summary,TRACE_ONLY,test,,,,,,trace_only,global_vs_directed,all_24,12,24,counterfactual_pair,pass,not_policy_input,PASS_AT_PRIOR
round_n_trace_audit,classifier_summary,TRACE_ONLY,test,,,,,,trace_only,sum_cut,all_24,12,24,counterfactual_pair,pass,not_policy_input,PASS_AT_PRIOR
round_n_trace_audit,classifier_summary,TRACE_ONLY,test,,,,,,trace_only,first_cut,all_24,12,24,counterfactual_pair,pass,not_policy_input,PASS_AT_PRIOR
round_n_trace_audit,classifier_summary,TRACE_ONLY,test,,,,,,trace_only,nearest_centroid,all_24,12,24,counterfactual_pair,pass,not_policy_input,PASS_AT_PRIOR
round_n_trace_audit,attack_summary,TOKEN_PARITY,test,,,,,,ILLEGAL_token_id,parity,none,13,24,counterfactual_pair,rename_test,measured,PASS_NO_SYSTEMATIC_ID_LEAK
round_n_trace_audit,INFORMATION_UPPER_BOUND,ALL_DETERMINISTIC_TRACE_FUNCTIONS,test,,,,,,trace_only,counterfactual_pairing,all_24,12,24,dedupe_to_12_ambiguous_keys,token_rename_invariant,not_policy_input,PASS_TRACE_HAS_ZERO_FAMILY_INFORMATION
