protocol,record_type,arm,target_token,split,base_global,base_directed,base_residual,action,proposal,reply_score,charged_call,charged_total,private_field_scan,token_rename,order_permutation,duplicate_attack,test_label_access,verdict
round_o_probe_audit,call,fixed_menu,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,11,11,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,12,12,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,13,13,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,14,14,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,15,15,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,16,16,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,17,17,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,18,18,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,19,19,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,20,20,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,21,21,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,22,22,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,23,23,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,24,24,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,1,1,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T07,train,509,599,617,candidate_probe,bit_one,8,2,2,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,3,3,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T02,train,509,599,617,candidate_probe,bit_one,12,4,4,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,5,5,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T02,train,509,599,617,candidate_probe,bit_one,12,6,6,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,7,7,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T10,train,643,786,774,candidate_probe,bit_one,8,8,8,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,9,9,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T01,train,643,786,774,candidate_probe,bit_one,12,10,10,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,11,11,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T01,train,643,786,774,candidate_probe,bit_one,12,12,12,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,13,13,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T09,train,718,715,749,candidate_probe,bit_one,8,14,14,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,15,15,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T04,train,718,715,749,candidate_probe,bit_one,12,16,16,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,17,17,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T04,train,718,715,749,candidate_probe,bit_one,12,18,18,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,19,19,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T11,train,539,717,761,candidate_probe,bit_one,8,20,20,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,21,21,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T00,train,539,717,761,candidate_probe,bit_one,12,22,22,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,23,23,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,blind_menu,O3-T00,train,539,717,761,candidate_probe,bit_one,12,24,24,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T07,train,509,599,617,cost_matched_no_probe,bit_zero,NA,1,1,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T07,train,509,599,617,cost_matched_no_probe,bit_zero,NA,2,2,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T07,train,509,599,617,cost_matched_no_probe,bit_zero,NA,3,3,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T02,train,509,599,617,cost_matched_no_probe,bit_zero,NA,4,4,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T02,train,509,599,617,cost_matched_no_probe,bit_zero,NA,5,5,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T02,train,509,599,617,cost_matched_no_probe,bit_zero,NA,6,6,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T10,train,643,786,774,cost_matched_no_probe,bit_zero,NA,7,7,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T10,train,643,786,774,cost_matched_no_probe,bit_zero,NA,8,8,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T10,train,643,786,774,cost_matched_no_probe,bit_zero,NA,9,9,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T01,train,643,786,774,cost_matched_no_probe,bit_zero,NA,10,10,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T01,train,643,786,774,cost_matched_no_probe,bit_zero,NA,11,11,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T01,train,643,786,774,cost_matched_no_probe,bit_zero,NA,12,12,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T09,train,718,715,749,cost_matched_no_probe,bit_zero,NA,13,13,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T09,train,718,715,749,cost_matched_no_probe,bit_zero,NA,14,14,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T09,train,718,715,749,cost_matched_no_probe,bit_zero,NA,15,15,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T04,train,718,715,749,cost_matched_no_probe,bit_zero,NA,16,16,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T04,train,718,715,749,cost_matched_no_probe,bit_zero,NA,17,17,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T04,train,718,715,749,cost_matched_no_probe,bit_zero,NA,18,18,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T11,train,539,717,761,cost_matched_no_probe,bit_zero,NA,19,19,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T11,train,539,717,761,cost_matched_no_probe,bit_zero,NA,20,20,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T11,train,539,717,761,cost_matched_no_probe,bit_zero,NA,21,21,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T00,train,539,717,761,cost_matched_no_probe,bit_zero,NA,22,22,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T00,train,539,717,761,cost_matched_no_probe,bit_zero,NA,23,23,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,no_probe_control,O3-T00,train,539,717,761,cost_matched_no_probe,bit_zero,NA,24,24,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,attack,policy_probe,HELDOUT,test,,,,heldout_probe_attempt,none,DENIED,0,24,pass,pass,pass,counterfactual_pair,denied,pass
round_o_probe_audit,summary,all_arms,ALL,train_and_test,,,,base_trace_bound,none,base=2/4,each=24,total=96,pass,pass,pass,paired,denied,PASS_PROTOCOL
round_o_probe_audit,summary,illegal_token_attack,ALL,test,,,,token_parity,none,6/12,0,0,pass,pass,pass,paired,not_policy_input,PASS_NO_ID_LEAK
