row_type,method,round_tag,target,reach,solved,unit_id,label,origin,weight,doc_ref
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I0_operand,"setup operand+register (r6, value=1)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I1_opcode,"load instr opcode-class (read-from-memory)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I1_operand,"load operand+register alloc (dest r3, addr r0)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I2_opcode,"store instr opcode-class (write-to-memory)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I2_operand,"store operand+register alloc (value-src r6)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,same_addr_rel,"load/store SAME-ADDRESS relational constraint",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I3_opcode,"completing instr opcode (xor)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I3_operand,"completing operand order + OUT_R wiring (xor(r3,r6))",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
method_summary,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,SUMMARY,"human=0 machine=0 unresolved=9 pending=0",machine_fraction,NA,"wcore/docs/research/auto_curriculum.md"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I0_opcode,"setup instr opcode (r2=1)",machine,1.00,"smart_gen.md: discovered stone, not in shape predicate"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I0_operand,"setup operand+register (r2, not hand's r6)",machine,1.00,"smart_gen.md: structurally distinct, flag in r2 not r6"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I1_opcode,"load instr opcode-class (read-from-memory)",human,1.00,"smart_gen.md: RMW-shape predicate names 'read'"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I1_operand,"load operand+register alloc (r3<-mem[r0])",machine,1.00,"smart_gen.md: COVER enumerates registers, not handed"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I2_opcode,"store instr opcode-class (write-to-memory)",human,1.00,"smart_gen.md: RMW-shape predicate names 'write'"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I2_operand,"store operand+register alloc (value-src r2)",machine,1.00,"smart_gen.md: structurally distinct register choice"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,same_addr_rel,"load/store SAME-ADDRESS relational constraint",human,1.00,"smart_gen.md: hasRMWShape = read-then-write-SAME-address"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I3_opcode,"completing instr opcode (xor)",machine,1.00,"smart_gen.md: 'the needle... discovered', not in the predicate"
ingredient,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,I3_operand,"completing operand order+OUT_R wiring (xor(r2,r3))",machine,1.00,"smart_gen.md: exhaustively enumerated, 2 OUT_R-equiv progs found"
method_summary,E3_smart_gen_cover_fair,round-E exp3,"distinct-count WALL (9 targets)",6/9,true,SUMMARY,"human=3 machine=6 unresolved=0 pending=0",machine_fraction,0.6667,"wcore/docs/research/smart_gen.md"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I0_opcode,"setup instr opcode (load-immediate)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I0_operand,"setup operand+register (r6, value=1)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I1_opcode,"load instr opcode-class (read-from-memory)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I1_operand,"load operand+register alloc (dest r3, addr r0)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I2_opcode,"store instr opcode-class (write-to-memory)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I2_operand,"store operand+register alloc (value-src r6)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,same_addr_rel,"load/store SAME-ADDRESS relational constraint",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I3_opcode,"completing instr opcode (xor)",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
ingredient,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,I3_operand,"completing operand order + OUT_R wiring (xor(r3,r6))",pending,1.00,"research_round_2026_07_11b.md: F1 status=pending, not yet landed"
method_summary,F1_prior_selector,round-F exp1 (PENDING),"distinct-count WALL (9 targets)",pending,false,SUMMARY,"human=0 machine=0 unresolved=0 pending=9",machine_fraction,NA,"docs/research/research_round_2026_07_11b.md"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,family_form,"mixed-radix joint-residue FORM: (A mod a)*b+(B mod b)",human,1.00,"repr_expansion.md sec.1: mixr definition"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,stat_pair_grid,"candidate stat-pair grid {(sum,count3),(sum,inv),(count3,inv)}",human,1.00,"repr_expansion.md sec.1: mixr stat-pairs"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,radius_grid,"candidate radius grid {2x2, 3x3}",human,1.00,"repr_expansion.md sec.1: mixr radii"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,family_selection,"WHICH family certifies (mixr, not thresh/ratio/run)",machine,1.00,"repr_expansion.md sec.3: thresh=0, mixr=+1, ratio=+1, run=0 certified"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,member_selection,"WHICH stat-pair+radius certifies (sum,count3,3x3)",machine,1.00,"repr_expansion.md sec.3: exact certified member table"
ingredient,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1 (family growth)",1/1,true,lens_selection,"WHICH lens certifies (mod4, of the 7-lens set)",machine,1.00,"repr_expansion.md sec.3: mixr(sum,count3,3x3,mod4)"
method_summary,E1_repr_equal_weight,round-E exp1,"mixr->MIXMOD1",1/1,true,SUMMARY,"human=3 machine=3",machine_fraction,0.5000,"docs/research/repr_expansion.md"
method_summary,E1_repr_depth_weighted,round-E exp1,"mixr->MIXMOD1",1/1,true,SUMMARY,"human=5.0 machine=3.0",machine_fraction,0.3750,"docs/research/repr_expansion.md (family_form weight=3)"
crosscheck,cover_l2_to_cap_bits,-,-,-,-,-,"log2(22345/1000)",computed,4.4819,"smart_gen.md: L2=22345, L3 base cap=1000 (both fair+uniform)"
crosscheck,cover_within_pool_bits,-,-,-,-,-,"log2(3604/2)",computed,10.8154,"smart_gen.md: len3 pool=3604, 2 OUT_R-equiv winners"
crosscheck,entropy_model_verdict,-,-,-,-,-,"same-size-sample--different-outcome",qualitative,0,"fair and uniform both sample 1000/22345 (identical bits); only fair hits -- prior is targeting/aim not quantity"
floor,ALL_METHODS,-,-,-,-,alphabet,"the instruction-set alphabet itself (which opcodes/registers/immediates exist as primitives; E3 additionally shrinks it 12reg/13imm->4reg/2imm for tractability, itself a human choice, smart_gen.md 'Honest limitations')",human_always,1.00,"see docs/research/insight_ledger.md floor section"
floor,ALL_METHODS,-,-,-,-,certifier,"the certifier/detector definition: depth-3/4 irreducibility check, COVER 0.90 threshold, R^2<0.40 novelty gate, real payoff/reachability test -- never machine-authored in this arc",human_always,1.00,"see docs/research/insight_ledger.md floor section"
floor,ALL_METHODS,-,-,-,-,target_battery,"the target/battery definition: which 9 WALL members count as solved, what MIXMOD1/RATIO1/ORDER2 mean as targets -- always human-designed witnesses (repr_expansion.md sec.8: 'fresh targets are a design choice')",human_always,1.00,"see docs/research/insight_ledger.md floor section"
floor,ALL_METHODS,-,-,-,-,protocol,"the comparability protocol: seeds, depth caps, budget caps, equal-budget requirement, leakage guards -- fixed by the researcher across every method for apples-to-apples comparison",human_always,1.00,"see docs/research/insight_ledger.md floor section"
