section,item,metric,pre_fix,post_fix,note
replication,D09 count3%5,seeds,n/a (too easy),1/3,new borderline; at 0xC1B1/0xC2B1 neither arm certifies an escape (reachability gap not tax effect)
replication,D10 count3%6,seeds,n/a (too easy),3/3,
replication,D11 subset-parity{0-3},seeds,3/3,3/3,forge mechanism unchanged
gate_v5,admission C08 v5-ladder,pass count / reconstructed cov,3/3 @ 1.000,3/3 @ 1.000,unchanged
gate_v5,admission C08 full-basis variants,pass count / cov,0/3 @ 0.506 0.483 0.502,0/3 @ 0.506 0.483 0.502,digit-for-digit identical
gate_v5,planted pool,size and partition,57 = 51 true remix + 6 C08 escapes,69 = 60 true remix + 9 escapes (6 C08 + 3 B3),pool grows: fixed v3 blocks B3 escapes + more re-checks
gate_v5,v5-ladder discrimination,blocked true / admitted escapes,51/51 + 6/6,60/60 + 9/9,conclusion survives; generalizes to B3 unchanged
gate_v5,v4 live gate on planted pool,admits,57/57,69/69,vacuous lane unchanged
gate_v5,v5-full post-revision no-harm,would-block,18/22,22/22,full-basis gate worse under consistent fit
gate_v5,v5-margin post-revision no-harm,would-block,18/22,21/22,worse
gate_v5,v5-ladder post-revision no-harm,would-block / v4-verdict agreement,13/22 / 22-22,13/22 / 22-22,identical
gate_v5,no-harm pre-revision,flips (v5-full e0 / v5-ladder),0/21 / 0/21,0/21 / 0/21,faithful v3 shadow both
gate_v5,post-revision verdict split,novel/remix,9/13,9/13,identical
gate_v5,live control ARM-OFF,B solves,32/33,29/33,B3 blocked all 3 seeds (matches battery-D harness)
gate_v5,live control ARM-ON,B / C-ladder / evalsB,33-33 / 3-33 / 692 699 692,33-33 / 3-33 / 692 699 692,identical trajectory
gate_v5,greedy non-monotonicity,rows with test_acc3 < test_acc1,1 (0.690 < 0.901),0,pre-fix instance was the scale artifact
