opaque_id	phase	seed_hex	expression
artifact_027	HELDOUT	0xf3483d50fb9b9142	(sub (add (mul (mul x (sub (add (mul 1 1) y) y)) x) y) 0)
artifact_028	HELDOUT	0xacd98afc3741124e	(add (add (sub (add (mul x (add (sub y z) z)) z) z) 0) (add (sub (sub (sub z 0) x) 0) x))
artifact_029	HELDOUT	0x901b5f3f5113065e	(add (mul (sub (add (add (sub (add x 0) 0) 0) y) 0) z) 0)
artifact_030	HELDOUT	0x21e3b5c7b1c81e6e	(add (sub (add (add (add (mul x x) 0) (mul y (add 1 0))) 0) y) y)
artifact_031	HELDOUT	0x13954a51459cb19d	(add (mul (sub (add x (add (sub z z) z)) z) (mul (add (sub (mul (add y (mul x 1)) 1) x) z) 1)) 0)
artifact_032	HELDOUT	0xe931cf4478e42d68	(add (sub (mul x (add (sub (add (add (sub y z) z) z) z) (add (sub z y) y))) y) y)
artifact_033	HELDOUT	0x1eb1843b3e725364	(sub (add (sub (add (sub (add (sub (add (mul x y) (mul (add y 0) z)) 0) (sub z 0)) x) x) z) 0) 0)
artifact_034	HELDOUT	0x556acacb68283550	(mul (mul x (sub (add (sub (sub y x) 0) (sub (add x x) x)) z)) 1)
artifact_035	HELDOUT	0x72422c08089bfdab	(add (sub (add (sub (mul x (add (sub y x) x)) z) z) z) (add 0 0))
artifact_036	HELDOUT	0x01eed84f6d53c768	(mul x (add (sub (add (sub (add (mul y 1) 0) z) 0) (add z 0)) z))
artifact_037	HELDOUT	0xd359d40131259ca6	(add (sub (add (add (sub (add (mul (sub (add (mul (sub (add (mul x x) y) y) 1) 0) y) 1) (add (sub y x) x)) x) x) y) y) y)
artifact_038	HELDOUT	0x7b154c8953cef06d	(sub (add (sub (add (mul (mul (sub (add x z) z) y) 1) (mul x 1)) x) 0) z)
artifact_039	HELDOUT	0xc365790f5b7b024f	(add (mul (sub (add (add (mul (add (sub x z) z) 1) 0) 0) 0) x) y)
artifact_040	HELDOUT	0xc76281f1ed59a8f4	(add (sub (add (add (sub (mul x y) 0) 0) (add (sub y y) y)) y) z)
artifact_041	HELDOUT	0x39dff8a32a1030f1	(sub (mul x y) (add (add (sub z (add (sub z x) x)) 0) (add (sub z z) z)))
artifact_042	HELDOUT	0x0355e57518b795c9	(add (mul x (mul (sub y (add 0 (sub (add 0 x) x))) 1)) (mul x z))
artifact_043	HELDOUT	0xa51cba3017d61bfe	(add (sub (mul (sub (add x (mul z 1)) z) (add (add (sub y z) (add z 0)) z)) z) z)
artifact_044	HELDOUT	0x3496ceb696377950	(add (sub (add (sub (sub (add (add (add (mul (sub (add x x) x) (add (sub x z) z)) y) y) y) (add (sub y y) y)) y) y) y) 0)
artifact_045	HELDOUT	0xbf0b32924c3a228e	(add (mul (mul x 1) y) (mul y (mul (add (sub (add (add (sub (add z (add (sub z z) z)) z) 0) x) x) 0) 1)))
artifact_046	HELDOUT	0xea368f2e78747a8f	(add (mul x y) (add (sub (mul (sub (mul (sub (add y (add (sub (add (sub z y) x) x) y)) z) z) 0) 1) z) z))
artifact_047	HELDOUT	0x4df0652a864f9434	(sub (mul (add (sub (sub (add (add (mul x z) (mul (add (sub (sub y 0) z) z) z)) z) z) z) z) 1) 0)
artifact_048	HELDOUT	0x8f08b4c668cd579c	(mul (add x (add (sub 0 y) y)) (sub (add (add y 0) 0) (add z 0)))
artifact_049	HELDOUT	0x6f103dd637add984	(sub (mul (sub (mul (add x z) 1) 0) 1) (mul z 1))
artifact_050	HELDOUT	0x9899fcc8c22a5e63	(mul (sub (add (mul (sub (add (sub (add (add x (sub y 0)) 0) x) x) y) y) (mul 0 1)) z) 1)
artifact_051	HELDOUT	0x9a1b6508c60a2182	(sub (mul (add (mul x y) (sub (mul (sub (add (mul y 1) x) x) z) (sub 0 0))) 1) 0)
artifact_052	HELDOUT	0xa4decef89762409d	(add (add (mul x x) 0) (add (sub (add (sub y (sub (add (add (sub z y) y) x) x)) z) z) z))
artifact_053	HELDOUT	0xc6c10d774ce42ae6	(sub (add (add (sub (sub (add (add (mul x y) y) 0) (add y 0)) z) 0) y) (add y 0))
artifact_054	HELDOUT	0x374780fd6371cd97	(mul (mul (add x (sub (add 0 x) x)) (mul (sub (sub 1 0) (add (sub 0 y) y)) 1)) 1)
artifact_055	HELDOUT	0x9f141dcaf77c7a07	(mul (add (add (mul (mul x 1) (sub (add 1 x) x)) (add (sub y z) z)) 0) z)
artifact_056	HELDOUT	0x0a6ef73956583d49	(sub (add (sub (add (mul x (add (add (sub x y) (sub (sub (add y z) z) 0)) 0)) y) y) y) 0)
artifact_057	HELDOUT	0xba79f8482c7d7d7a	(add (sub (add (mul x x) (sub (add x z) z)) x) (sub (add (sub (add (sub y z) z) 0) z) z))
artifact_058	HELDOUT	0x867045e904c6697a	(add (mul (sub (add x (mul (mul (add (sub (add (sub z z) x) x) (add z 0)) 1) 1)) z) y) z)
artifact_059	HELDOUT	0x86d44641cae7868e	(mul (sub x 0) (sub (mul (sub (add (mul y 1) z) z) 1) (add z 0)))
